ID,Cattle ID,BRD,Date/Collection,Ave.temp,Temp,Age,PenCode,MbPre_Abs,Mbovis_copies,Mbovis_RelAbunBacteria,PmPres_Abs,Pm_copies,Pm_RelAbunBacteria,HsPres_Abs,Hs_copies,Hs_RelAbunBacteria,MhPres_Abs,Mh_copies,Mh_RelAbunBacteria,16SPres_Abs,16S_copies,4bacteriaAbundance
Dairy101,Orange 634,BRD,9/30/20,54.88,106.5,0.645,3,1,112930.58,0.316685938,1,243509.51,0.682862318,1,161.0924283,0.000451744,0,0,0,1,491371131.7,356601.1824
Dairy102,Orange 641,Healthy,10/14/20,57.63,102.7,0.68,5,0,0,0,1,15340.12,0.984994853,1,233.682741,0.015004856,1,601832.11,38.64386529,1,133043208.3,15573.80727
Dairy103,Orange 653,BRD,10/14/20,57.63,105.2,0.68,5,1,37827.53,0.075485247,1,463125.53,0.924172027,1,171.7478488,0.000342725,1,806088.07,1.608557502,1,1496127378,501124.8084
Dairy104,Orange 655,Healthy,9/30/20,54.88,102.9,0.645,2,1,43918.44,0.014611012,1,2961672.88,0.985304551,1,253.8046999,8.44E-05,0,0,0,1,149139248.8,3005845.125
Dairy105,Orange 682,Healthy,9/30/20,54.88,102.5,0.645,2,0,0,0,1,64349.58,0.997617163,1,153.7007811,0.002382837,0,0,0,1,28722690.39,64503.28078
Dairy106,Orange 705,BRD,9/30/20,54.88,103.3,0.645,2,1,1055122.17,0.745144927,1,360694.84,0.25472873,1,178.9020276,0.000126344,1,244620.8,0.172755301,1,982112330.9,1415995.912
Dairy107,Orange 713,BRD,9/30/20,54.88,103.9,0.645,2,1,38122.42,0.048661858,1,745112.84,0.951108956,1,179.5471622,0.000229185,1,59143.09,0.075493965,1,160391990.1,783414.8075
Dairy108,Orange 736,Healthy,10/14/20,57.63,105.4,0.68,5,0,0,0,1,48940,0.995431269,1,224.6199469,0.004568731,0,0,0,1,2.61E+11,49164.61995
Dairy109,Orange 747,Healthy,11/11/20,40,102.9,0.76,4,0,0,0,1,18606.61,0.988593054,1,214.6936017,0.011406946,0,0,0,1,10689216.52,18821.3036
Dairy110,Orange 765,BRD,12/2/20,33.04,104,0.71,8,0,0,0,1,713149.39,0.999753843,1,175.5897694,0.000246157,0,0,0,1,56378457.97,713324.9798
Dairy111,Orange 77,BRD,8/19/20,66.25,103.8,0.72,6,1,1709.37,0.006380783,1,265841.05,0.992338682,1,343.0467673,0.001280534,1,10638.78,0.039712727,1,50917761.81,267893.467
Dairy112,Orange 778,Healthy,11/11/20,40,103.8,0.65,6,1,25732.07,0.20796588,1,97683.52,0.789475513,1,316.5819794,0.002558607,0,0,0,1,350946213.4,123732.172
Dairy113,Orange 782,BRD,11/18/20,40.08,104.8,0.67,5,1,1656073.14,0.994834291,1,8437.3,0.005068445,1,161.912657,9.73E-05,1,11232.11,0.00674734,1,1064023600,1664672.353
Dairy114,Orange 789,BRD,11/11/20,40,104.4,0.65,6,1,381594.35,0.21467851,1,1395735.33,0.785217029,1,185.6748464,0.000104458,1,455054.29,0.256005827,1,78215574.15,1777515.361
Dairy115,Orange 83,Healthy,8/12/20,43.71,102.7,0.7,6,1,1281.56,0.001380153,1,927044.95,0.998364716,1,236.9014185,0.000255127,1,315690.25,0.33997705,1,96727958.04,928563.4147
Dairy116,Orange 838,BRD,12/2/20,33.04,104.9,0.71,9,1,2921358.17,0.811837749,1,676947.27,0.188121865,1,145.3247845,4.04E-05,1,12282.34,0.00341323,1,831889037.2,3598450.765
Dairy117,Orange 841,Healthy,11/11/20,40,103.2,0.65,4,1,5703630.26,0.915661987,1,525121.8,0.084303163,1,217.0833412,3.49E-05,0,0,0,1,408908380.3,6228969.143
Dairy118,Orange 847,Healthy,12/2/20,33.04,102.5,0.71,8,1,38721.23,0.683415731,1,17723.57,0.312814612,1,213.5810463,0.003769628,1,31103.97,0.548973842,1,19688076.92,56658.38263
Dairy119,Orange 865,Healthy,11/18/20,40.08,102.9,0.67,5,1,104715.7,0.068489391,1,1424037.36,0.931392818,1,180.0957694,0.000117792,1,5842.32,0.003821174,1,104566185.7,1528933.156
Dairy120,Orange 88,Healthy,8/12/20,43.71,103.2,0.7,6,0,0,0,1,500311.31,0.999362945,1,318.9289339,0.000637055,1,19990.83,0.039931327,1,65978606.24,500630.2392
Dairy121,Orange 909,Healthy,11/4/20,60.5,102.9,0.63,5,1,2452.8,0.023201914,1,103063.24,0.974912094,1,199.3779342,0.001885987,1,131349.38,1.242480822,1,260220433,105715.4184
Dairy122,Orange 919,Healthy,12/2/20,33.04,104.9,0.71,9,0,0,0,1,50287.75,0.995198063,1,242.6437631,0.004801937,0,0,0,1,78315943.44,50530.39376
Dairy123,Orange 922,BRD,11/18/20,40.08,105.8,0.67,5,0,0,0,1,3886219.01,0.999936436,1,247.0394457,6.36E-05,1,95611.07,0.024601031,1,335480067.9,3886466.05
Dairy124,Orange 924,Healthy,11/11/20,40,104,0.65,6,1,18682.54,0.044007532,1,405669.4,0.955571839,1,178.5679574,0.000420625,1,78951.89,0.185974596,1,38502304.75,424530.51
Dairy125,Orange 939,BRD,12/2/20,33.04,103.8,0.71,8,1,567058.28,0.207456611,1,2166153.21,0.792480808,1,171.057307,6.26E-05,1,289012.63,0.105734424,1,620933353.5,2733382.548
Dairy126,Orange 941,Healthy,12/2/20,33.04,103,0.71,9,0,0,0,1,5906938.45,0.999974656,1,149.7117941,2.53E-05,1,275.92,4.67E-05,1,1148807162,5907088.162
Dairy127,Orange 988,BRD,11/4/20,60.5,105.1,0.63,5,1,15433.43,0.090991962,1,153948.25,0.907643561,1,231.4329744,0.001364476,1,28053.13,0.165394818,1,151065545.1,169613.1132
Dairy128,Orange 990,Healthy,12/2/20,33.04,102,0.71,8,1,404403.34,0.145794163,1,2369156.12,0.854120379,1,237.0423737,8.55E-05,0,0,0,1,88328042.68,2773796.502
Dairy129,Orange 994,BRD,11/11/20,40,104.8,0.65,6,1,402762.87,0.651638269,1,215157.25,0.348107307,1,157.2531457,0.000254423,1,23456.38,0.037950556,1,35660454.22,618077.3738
Dairy130,Purple 234,BRD,12/2/20,33.04,102.7,0.33,10,1,56555.5,0.458367499,1,66724.09,0.540781255,1,105.0305963,0.000851245,0,0,0,1,1.50E+12,123384.6206
Dairy131,Yellow 119,BRD,8/12/20,43.71,103.5,1.15,10,0,0,0,1,66132.71,0.997910439,1,138.47772,0.002089561,0,0,0,1,24431129.62,66271.18772
Dairy132,Yellow 591,BRD,8/12/20,43.71,103.3,1,10,1,80488.96,0.349409086,1,149695.99,0.649842401,1,172.4254477,0.000748513,1,9236.69,0.040097218,1,106366196.9,230357.3755
Dairy133,Yellow 869,BRD,7/21/20,74,104,0.82,11,1,74300.74,0.33391446,1,148028.33,0.66525313,1,185.2178899,0.000832386,1,50034.94,0.22486169,1,9405954.64,222514.2932
